Cycle,Dictionary,TrumpMean,Opponent,OpponentMean
2015-2016,crime_gt_score,0.06956978350733248,H. Clinton,0.08059002500854753
2015-2016,economy_gt_score,1.3875024409560752,H. Clinton,1.6443014055547356
2015-2016,elites_gt_score,0.28240956811545537,H. Clinton,0.09653447676970302
2015-2016,people_gt_score,0.04117479648162854,H. Clinton,0.025820306329441555
2015-2016,service_gt_score,0.11229857043198976,H. Clinton,0.41691485336692075
2015-2016,they_gt_score,2.2030711219133625,H. Clinton,1.2413093003815612
2015-2016,violence_gt_score,0.5818546922501641,H. Clinton,0.7296828251174909
2015-2016,war_gt_score,0.12653149189118254,H. Clinton,0.08171588449355154
2015-2016,we_gt_score,3.0163935643232773,H. Clinton,2.7144785427872007
2019-2020,crime_gt_score,0.11754605587041064,Biden,0.029826069074864712
2019-2020,economy_gt_score,1.1779509531943195,Biden,1.016445865212632
2019-2020,elites_gt_score,0.14857653487330424,Biden,0.07300074258885954
2019-2020,people_gt_score,0.027716339070337565,Biden,0.06188562491012848
2019-2020,service_gt_score,0.1611189490116743,Biden,0.34518153294754117
2019-2020,they_gt_score,2.0264594778558456,Biden,1.2552365498784268
2019-2020,violence_gt_score,0.750087183465687,Biden,0.532956597940047
2019-2020,war_gt_score,0.19338000605237213,Biden,0.13868919714227754
2019-2020,we_gt_score,3.2910313060115803,Biden,3.0000252429154086
2023-2024,crime_gt_score,0.2444838484152605,Harris,0.06462653480883884
2023-2024,economy_gt_score,0.8050339079019706,Harris,0.7876937679766821
2023-2024,elites_gt_score,0.2730350883743255,Harris,0.09623162902442996
2023-2024,people_gt_score,0.018640054290258532,Harris,0.0588221662326484
2023-2024,service_gt_score,0.10542047947218768,Harris,0.20796441846151406
2023-2024,they_gt_score,2.46300007166874,Harris,0.8658872677267052
2023-2024,violence_gt_score,1.04212089050181,Harris,0.8381890998045167
2023-2024,war_gt_score,0.2140371685753742,Harris,0.018329032987101368
2023-2024,we_gt_score,2.8424814243175587,Harris,3.8224989248785852
