ElectionYear,Cycle,Dictionary,TrumpMean,Opponent,OpponentMean
2016,2015-2016,crime_gt_score,0.0697027734782083,H. Clinton,0.086425332124614
2016,2015-2016,economy_gt_score,1.4406497792344546,H. Clinton,1.6048898547291353
2016,2015-2016,elites_gt_score,0.35795474527114085,H. Clinton,0.1489046609759442
2016,2015-2016,people_gt_score,0.07080708021579564,H. Clinton,0.02302603719781223
2016,2015-2016,service_gt_score,0.1384022263852261,H. Clinton,0.34824930139941856
2016,2015-2016,they_gt_score,1.7366590252246112,H. Clinton,1.195432189229819
2016,2015-2016,violence_gt_score,0.6190856263342183,H. Clinton,0.8071672032064147
2016,2015-2016,war_gt_score,0.14274746121646698,H. Clinton,0.09590880354384003
2016,2015-2016,we_gt_score,3.3050643696674804,H. Clinton,2.86413854779483
2020,2019-2020,crime_gt_score,0.10707318173535414,Biden,0.03469381800449937
2020,2019-2020,economy_gt_score,1.0352231440236321,Biden,1.0385697646722587
2020,2019-2020,elites_gt_score,0.10649368183010773,Biden,0.09098546108233577
2020,2019-2020,people_gt_score,0.025894406764942028,Biden,0.10145338646831911
2020,2019-2020,service_gt_score,0.1488842530533691,Biden,0.2756461119870317
2020,2019-2020,they_gt_score,1.9643813668293224,Biden,1.1836393279647623
2020,2019-2020,violence_gt_score,0.9052021240445379,Biden,0.6375654943907326
2020,2019-2020,war_gt_score,0.25125751996834744,Biden,0.1364378087436098
2020,2019-2020,we_gt_score,3.2163943268909647,Biden,2.9465134663909067
2024,2023-2024,crime_gt_score,0.3464357023414188,Harris,0.059384022936465386
2024,2023-2024,economy_gt_score,0.601067665460002,Harris,0.8455003999465989
2024,2023-2024,elites_gt_score,0.23918021074558937,Harris,0.1628868432294313
2024,2023-2024,people_gt_score,0.029740946387759044,Harris,0.05201068344757689
2024,2023-2024,service_gt_score,0.1059934531340931,Harris,0.24442918495871643
2024,2023-2024,they_gt_score,2.275626899000748,Harris,0.6977273991614379
2024,2023-2024,violence_gt_score,1.1850906636586571,Harris,0.9810302556234658
2024,2023-2024,war_gt_score,0.15747809456318115,Harris,0.012781800382857925
2024,2023-2024,we_gt_score,2.684687450332506,Harris,3.9038524731049646
